Date,USD_CAD,EUR_CAD,GBP_CAD,AUD_CAD
2026-05-01,1.362,1.465,1.712,0.902
2026-05-02,1.365,1.462,1.715,0.905
2026-05-03,1.361,1.468,1.711,0.901
2026-05-04,1.359,1.472,1.708,0.898
2026-05-05,1.368,1.459,1.721,0.909
2026-05-06,1.372,1.452,1.728,0.915
2026-05-07,1.375,1.448,1.732,0.919
2026-05-08,1.369,1.455,1.724,0.911
2026-05-09,1.364,1.461,1.718,0.904
2026-05-10,1.360,1.466,1.710,0.899
2026-05-11,1.355,1.473,1.702,0.893
2026-05-12,1.358,1.470,1.706,0.896
2026-05-13,1.363,1.464,1.713,0.902
2026-05-14,1.367,1.458,1.720,0.907
2026-05-15,1.371,1.451,1.727,0.913
2026-05-16,1.374,1.446,1.731,0.918
2026-05-17,1.378,1.440,1.738,0.924
2026-05-18,1.382,1.435,1.745,0.930
2026-05-19,1.385,1.431,1.750,0.935
2026-05-20,1.390,1.425,1.758,0.942
2026-05-21,1.395,1.418,1.765,0.950
